experiment_id,experiment_type,primary_metric,start_date,end_date,planned_duration_days,actual_duration_days,planned_sample_size,actual_sample_size,peeked,has_true_effect,true_effect_size,observed_effect_size,p_value,called_winner,true_winner,error_type,underpowered,metrics_tested,p_hacking_risk
EXP180,Recommended row placement,click_through_rate,2020-05-14,2020-06-10,35,27,19621,15136,True,True,0.0696,0.0249,0.0,True,True,True Positive,False,5,True
EXP181,Top 10 label,engagement_rate,2021-11-13,2021-12-02,19,19,10268,10268,False,False,0.0,-0.0162,0.0,True,False,False Positive,False,4,True
EXP182,Top 10 label,engagement_rate,2023-05-03,2023-07-01,59,59,21288,21288,False,False,0.0,0.0407,0.0,True,False,False Positive,False,3,True
EXP183,Top 10 label,engagement_rate,2023-10-04,2023-12-01,58,58,49416,49416,False,False,0.0,0.0113,0.0,True,False,False Positive,False,4,True
EXP184,Download for offline prompt,feature_adoption,2022-01-11,2022-01-16,15,5,15037,5012,True,False,0.0,-0.0069,0.0,True,False,False Positive,False,4,True
EXP185,Skip intro button,episode_completion,2021-04-08,2021-04-20,22,12,7628,4160,True,False,0.0,-0.0476,0.0,True,False,False Positive,True,5,True
EXP186,Autoplay next episode,watch_time,2023-09-17,2023-10-22,35,35,41503,41503,False,True,0.0364,0.0242,0.0,True,True,True Positive,False,2,False
EXP187,Top 10 label,engagement_rate,2024-08-29,2024-10-26,58,58,11848,11848,False,False,0.0,0.0275,0.0,True,False,False Positive,False,2,False
EXP188,Social proof badge,engagement_rate,2023-06-04,2023-07-06,32,32,30420,30420,False,True,0.0267,0.0344,0.0,True,True,True Positive,False,4,True
EXP189,Skip intro button,episode_completion,2022-01-23,2022-03-21,57,57,29874,29874,False,False,0.0,-0.0058,0.0,True,False,False Positive,False,5,True
EXP190,Continue watching prompt,watch_time,2020-11-27,2020-12-23,26,26,10070,10070,False,False,0.0,0.0288,0.0,True,False,False Positive,False,1,False
EXP191,Social proof badge,engagement_rate,2024-11-25,2025-01-01,37,37,7723,7723,False,False,0.0,-0.0154,0.0,True,False,False Positive,False,1,False
EXP192,Top 10 label,engagement_rate,2021-07-12,2021-08-23,42,42,10656,10656,False,False,0.0,-0.0015,0.002,True,False,False Positive,False,1,False
EXP193,Skip intro button,episode_completion,2024-07-30,2024-09-10,42,42,2747,2747,False,False,0.0,-0.0231,0.0,True,False,False Positive,True,4,True
EXP194,Personalised thumbnail,click_through_rate,2022-02-06,2022-02-12,28,6,47838,10251,True,False,0.0,0.0176,0.0,True,False,False Positive,False,2,False
EXP195,Top 10 label,engagement_rate,2020-03-19,2020-04-20,32,32,31962,31962,False,False,0.0,0.0302,0.0,True,False,False Positive,False,4,True
EXP196,Email re-engagement,reactivation_rate,2020-01-11,2020-01-20,19,9,10798,5114,True,False,0.0,0.0359,0.0,True,False,False Positive,False,5,True
EXP197,Download for offline prompt,feature_adoption,2022-05-16,2022-06-06,21,21,16573,16573,False,False,0.0,0.0299,0.0,True,False,False Positive,False,5,True
EXP198,Social proof badge,engagement_rate,2020-05-08,2020-05-29,21,21,33756,33756,False,False,0.0,0.0093,0.0,True,False,False Positive,False,1,False
EXP199,Download for offline prompt,feature_adoption,2023-03-23,2023-04-21,29,29,20088,20088,False,False,0.0,-0.0167,0.0,True,False,False Positive,False,4,True
EXP200,Top 10 label,engagement_rate,2023-09-22,2023-10-18,56,26,5435,2523,True,False,0.0,-0.0147,0.0,True,False,False Positive,True,5,True
